date,Vancouver,Victoria,Whitehorse
2023-02-18,6.1,5.6,-8.85
2023-02-17,4.4,4.75,-13.45
2023-02-16,4.25,4.25,-8.55
2023-02-15,2.5,0.95,-7.15
2023-02-14,3.45,2.25,-13.55
2023-02-13,4.75,5.2,-6.5
2023-02-12,5.35,5.6,-3.35
2023-02-11,4.45,3.35,-3.3
2023-02-10,7.05,6.5,-9.05
2023-02-09,6.75,5.45,-8.65
2023-02-08,3.85,3.3,-6.55
2023-02-07,8,7.65,-5.35
2023-02-06,6.9,7.4,-3.34
2023-02-05,6.8,6.65,-13.5
2023-02-04,8.4,7.6,-14.05
2023-02-03,5.85,5.4,-12.39
2023-02-02,4,3.6,-13.15
2023-02-01,3.05,3.05,-10.8
2023-01-31,0.3,1.55,-9.15
2023-01-30,-2.15,-1.45,-9
2023-01-29,-0.79,-0.2,-10.19
2023-01-28,3.95,5.05,-13
2023-01-27,5.75,6.6,-7.94
2023-01-26,5.44,6.4,-0.3
2023-01-25,6.25,6.3,3.75
2023-01-24,5.35,6.7,-0.05
2023-01-23,4.4,4.65,-0.25
2023-01-22,4.55,2.4,-3.25
2023-01-21,3.1,2.25,-1.1
2023-01-20,4.4,3.9,-2.1
2023-01-19,3.89,3.05,-5.35
2023-01-18,6.4,5.6,-5.9
2023-01-17,6.95,6.1,-5.6
2023-01-16,7.3,6.55,-8.65
2023-01-15,6.85,5.85,-11.3
2023-01-14,9.85,7.6,-12.15
2023-01-13,10.19,9.9,-14.6
2023-01-12,8.89,8.75,-17.14
2023-01-11,6.45,5.4,-14.1
2023-01-10,6.25,5.75,-11.75
2023-01-09,6.8,8.05,-13.4
2023-01-08,5,5.2,-9.75
2023-01-07,8.15,8,-11.65
2023-01-06,8.35,6.4,-13.1
2023-01-05,8.69,9.55,-12
2023-01-04,5.5,5.5,-9
2023-01-03,2.9,4.5,-5.8
2023-01-02,2.4,2.95,-1.5
2023-01-01,5,3.9,-5.6
2022-12-31,5.9,6.55,-15.7
2022-12-30,7.8,8.44,-20
2022-12-29,4.84,6.6,-16.35
2022-12-28,5.8,5.94,-10.85
2022-12-27,8.1,7.69,-10.55
2022-12-26,9.5,7.95,-15.3
2022-12-25,5.5,4.55,-23.6
2022-12-24,4.05,5.5,-28.65
2022-12-23,-3,-1.29,-29.05
2022-12-22,-10.15,-6,-29
2022-12-21,-9.94,-5.65,-33.95
2022-12-20,-7.6,-3.59,-37.79
2022-12-19,-7.15,-5.4,-37.7
2022-12-18,-1.6,-0.8,-31.15
2022-12-17,2.4,1.1,-25
2022-12-16,1.04,1.05,-14.2
2022-12-15,1.8,2.29,-4.1
2022-12-14,2.45,4.1,-4.55
2022-12-13,2.25,2.85,-9.35
2022-12-12,3.3,3.55,-7.45
2022-12-11,6.05,5.09,-22.5
2022-12-10,5.9,7,-21.15
2022-12-09,2.75,3.7,-12.55
2022-12-08,3.8,4.25,-5
2022-12-07,4.15,5,-7.7
