glacier_id,lon,lat
RGI60-02.00452,-122.395,50.0359
RGI60-02.00453,-116.456,50.0306
RGI60-02.00454,-123.251,50.0382
RGI60-02.00455,-123.548,50.0398
RGI60-02.00456,-122.807,50.0422
RGI60-02.00457,-123.477,50.0448
RGI60-02.00458,-123.259,50.0448
RGI60-02.00459,-116.464,50.0434
RGI60-02.00460,-122.782,50.0347
RGI60-02.00461,-122.8,50.0433
RGI60-02.00462,-123.488,50.0452
RGI60-02.00463,-126.685,50.0454
RGI60-02.00464,-123.383,49.9793
RGI60-02.00465,-123.455,50.008
RGI60-02.00466,-123.436,50.0233
RGI60-02.00467,-123.399,49.9898
RGI60-02.00468,-123.393,49.9774
RGI60-02.00469,-123.395,49.9842
RGI60-02.00470,-123.403,50.0043
RGI60-02.00471,-123.423,50.0014
RGI60-02.00472,-123.391,49.9941
RGI60-02.00473,-123.435,49.9959
RGI60-02.00474,-123.4,49.9781
RGI60-02.00475,-123.467,50.031
RGI60-02.00476,-116.482,50.0491
RGI60-02.00477,-121.894,50.0512
RGI60-02.00478,-116.475,50.0461
RGI60-02.00479,-116.489,50.0509
RGI60-02.00480,-123.504,50.0473
RGI60-02.00481,-122.279,50.0525
RGI60-02.00482,-126.699,50.0526
RGI60-02.00483,-122.781,50.0429
RGI60-02.00484,-122.794,50.0508
RGI60-02.00485,-122.951,50.058
RGI60-02.00486,-123.528,50.0616
RGI60-02.00487,-122.826,50.0665
RGI60-02.00488,-123.621,50.0686
RGI60-02.00489,-122.834,50.0639
RGI60-02.00490,-123.532,50.074
RGI60-02.00491,-123.63,50.0745
RGI60-02.00492,-123.459,50.0715
RGI60-02.00493,-123.451,50.0719
RGI60-02.00494,-122.847,50.074
RGI60-02.00495,-122.856,50.0716
RGI60-02.00496,-121.974,50.0786
RGI60-02.00497,-122.792,50.0653
RGI60-02.00498,-122.784,50.0476
RGI60-02.00499,-122.805,50.0705
RGI60-02.00500,-122.776,50.0623
RGI60-02.00501,-122.772,50.0537
RGI60-02.00502,-122.813,50.064
RGI60-02.00503,-121.785,50.0795
RGI60-02.00504,-121.89,50.0802
RGI60-02.00505,-123.25,50.0803
RGI60-02.00506,-121.802,50.0827
RGI60-02.00507,-122.005,50.0849
RGI60-02.00508,-117.118,50.0842
RGI60-02.00509,-117.121,50.0859
RGI60-02.00510,-123.557,50.0808
RGI60-02.00511,-123.44,50.0562
RGI60-02.00512,-123.417,50.0489
RGI60-02.00513,-123.407,50.0553
RGI60-02.00514,-123.396,50.0533
RGI60-02.00515,-123.402,50.0612
RGI60-02.00516,-123.53,50.0454
RGI60-02.00517,-123.484,50.0653
RGI60-02.00518,-123.528,50.0684
RGI60-02.00519,-123.549,50.0437
RGI60-02.00520,-123.533,50.0566
RGI60-02.00521,-123.543,50.0478
RGI60-02.00522,-123.517,50.0784
RGI60-02.00523,-123.518,50.0584
RGI60-02.00524,-121.807,50.0886
RGI60-02.00525,-121.801,50.0867
RGI60-02.00526,-117.177,50.0891
RGI60-02.00527,-116.486,50.086
RGI60-02.00528,-117.183,50.0923
RGI60-02.00529,-122.027,50.0894
RGI60-02.00530,-122.871,50.0907
RGI60-02.00531,-117.196,50.0926
RGI60-02.00532,-123.566,50.0876
RGI60-02.00533,-123.561,50.0926
RGI60-02.00534,-122.883,50.0937
RGI60-02.00535,-122.849,50.0917
RGI60-02.00536,-122.036,50.0977
RGI60-02.00537,-123.552,50.0968
RGI60-02.00538,-123.492,50.0784
RGI60-02.00539,-123.5,50.0839
RGI60-02.00540,-123.491,50.0938
RGI60-02.00541,-116.566,50.0982
RGI60-02.00542,-122.035,50.103
RGI60-02.00543,-122.435,50.0981
RGI60-02.00544,-122.435,50.1005
RGI60-02.00545,-122.047,50.1029
RGI60-02.00546,-122.858,50.1019
RGI60-02.00547,-122.855,50.1024
RGI60-02.00548,-121.911,50.0567
RGI60-02.00549,-121.852,50.0555
RGI60-02.00550,-121.918,50.085
RGI60-02.00551,-121.955,50.0866
RGI60-02.00552,-121.937,50.0898
RGI60-02.00553,-121.965,50.1008
RGI60-02.00554,-121.888,50.0646
RGI60-02.00555,-121.951,50.0823
RGI60-02.00556,-121.992,50.0921
RGI60-02.00557,-123.544,50.102
RGI60-02.00558,-122.7041702,50.09840012
RGI60-02.00559,-122.219,50.1055
RGI60-02.00560,-122.859,50.1069
RGI60-02.00561,-123.532,50.1075
RGI60-02.00562,-122.2,50.1086
RGI60-02.00563,-116.58,50.1092
RGI60-02.00564,-123.241,50.11
RGI60-02.00565,-117.175,50.1094
RGI60-02.00566,-116.564,50.1092
RGI60-02.00567,-116.573,50.1077
RGI60-02.00568,-122.718,50.111
RGI60-02.00569,-123.213,50.112
RGI60-02.00570,-116.474,50.1141
RGI60-02.00571,-123.187,50.1117
RGI60-02.00572,-123.588,50.1069
RGI60-02.00573,-123.584,50.0996
RGI60-02.00574,-121.99,50.1152
RGI60-02.00575,-117.159,50.1122
RGI60-02.00576,-123.251,50.1168
RGI60-02.00577,-122.611,50.1148
RGI60-02.00578,-122.73,50.1137
RGI60-02.00579,-116.463,50.118
RGI60-02.00580,-116.468,50.1205
RGI60-02.00581,-122.739,50.1193
RGI60-02.00582,-116.473,50.1204
RGI60-02.00583,-122.12,50.1157
RGI60-02.00584,-122.201,50.117
RGI60-02.00585,-122.17,50.1188
